COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
105,0,1203,4179.23076923077,4219.8717948718,4173.97435897436,4172.69230769231,4185.51282051282,4170.51282051282,4170.25641025641,4216.41025641026,4158.58974358974,4167.17948717949,4175.25641025641,4149.8717948718,4168.58974358974,4174.61538461538,0,0,0.0935693740650938,0,0.062148492783308,0,0,0,0
106,0,3353,4178.58974358974,4214.23076923077,4176.79487179487,4172.17948717949,4178.71794871795,4168.97435897436,4168.07692307692,4219.48717948718,4163.97435897436,4169.10256410256,4182.4358974359,4155.25641025641,4170.64102564103,4178.46153846154,0,0,0.101449594711272,0,0.062148492783308,0,0,0,0
107,0,1320,4175.76923076923,4208.07692307692,4174.48717948718,4172.05128205128,4179.10256410256,4168.97435897436,4170.76923076923,4222.69230769231,4164.35897435897,4172.69230769231,4186.28205128205,4152.30769230769,4168.97435897436,4172.30769230769,0,0,0.10942981535745,0,0.062148492783308,0,0,0,0
108,0,1683,4178.33333333333,4213.71794871795,4177.4358974359,4170.25641025641,4179.48717948718,4169.35897435897,4171.15384615385,4219.8717948718,4160.25641025641,4169.48717948718,4182.94871794872,4155.12820512821,4168.84615384615,4176.15384615385,0,0,0.117410036003628,0,0.062148492783308,0,0,0,0
109,0,1203,4177.05128205128,4219.35897435897,4172.82051282051,4170.76923076923,4179.8717948718,4168.33333333333,4165.38461538462,4216.41025641026,4158.58974358974,4165.64102564103,4178.84615384615,4154.48717948718,4170.64102564103,4178.46153846154,0,0,0.125390256649806,0,0.062148492783308,0,0,0,0
110,0,3353,4179.10256410256,4218.46153846154,4174.10256410256,4176.92307692308,4182.30769230769,4168.97435897436,4167.30769230769,4218.97435897436,4160.64102564103,4178.46153846154,4178.58974358974,4156.15384615385,4175.25641025641,4177.69230769231,0,0,0.133270477295984,0,0.062148492783308,0,0,0,0
111,0,1320,4181.41025641026,4216.79487179487,4176.66666666667,4177.82051282051,4180.25641025641,4170.38461538462,4171.66666666667,4218.58974358974,4159.74358974359,4182.5641025641,4181.53846153846,4156.79487179487,4176.66666666667,4177.4358974359,0,0,0.141150697942162,0,0.062148492783308,0,0,0,0
112,0,1683,4174.35897435897,4216.79487179487,4170.64102564103,4173.97435897436,4178.84615384615,4175.12820512821,4171.28205128205,4216.41025641026,4161.66666666667,4170.12820512821,4182.94871794872,4154.35897435897,4174.74358974359,4176.53846153846,0,0,0.14893091858834,0,0.062148492783308,0,0,0,0
113,0,1203,4168.97435897436,4216.28205128205,4171.02564102564,4172.05128205128,4180.12820512821,4179.35897435897,4170.89743589744,4218.33333333333,4163.84615384615,4166.15384615385,4182.5641025641,4157.5641025641,4171.15384615385,4174.48717948718,0,0,0.156711139234519,0,0.062148492783308,0,0,0,0
114,0,3353,4166.66666666667,4212.17948717949,4169.10256410256,4169.35897435897,4175.51282051282,4173.97435897436,4168.97435897436,4218.71794871795,4162.82051282051,4167.30769230769,4175.12820512821,4150.64102564103,4161.79487179487,4165.64102564103,0,0,0.164591359880697,0,0.062148492783308,0,0,0,0
115,0,1320,4162.5641025641,4206.92307692308,4170.51282051282,4167.94871794872,4168.58974358974,4169.8717948718,4168.84615384615,4216.02564102564,4156.28205128205,4154.35897435897,4171.53846153846,4147.05128205128,4149.35897435897,4165.64102564103,0,0,0.172471580526875,0,0.062148492783308,0,0,0,0
116,0,1683,4162.05128205128,4210.12820512821,4175.12820512821,4169.8717948718,4172.17948717949,4177.05128205128,4172.17948717949,4215.25641025641,4155.25641025641,4153.58974358974,4174.74358974359,4152.5641025641,4150.12820512821,4168.46153846154,0,0,0.180251801173053,0,0.062148492783308,0,0,0,0
117,0,1203,4166.41025641026,4216.92307692308,4173.84615384615,4172.30769230769,4175.76923076923,4178.20512820513,4171.53846153846,4216.66666666667,4165.38461538462,4179.8717948718,4177.94871794872,4153.84615384615,4167.5641025641,4167.4358974359,0,0,0.188032021819231,0,0.062148492783308,0,0,0,0
118,0,3353,4171.15384615385,4217.5641025641,4175,4176.41025641026,4169.48717948718,4168.07692307692,4166.79487179487,4215.76923076923,4164.10256410256,4180.38461538462,4180.89743589744,4156.66666666667,4178.07692307692,4170.89743589744,0,0,0.195912242465409,0,0.062148492783308,0,0,0,0
119,0,1320,4169.8717948718,4217.4358974359,4172.05128205128,4178.71794871795,4169.74358974359,4166.66666666667,4167.17948717949,4213.84615384615,4158.58974358974,4164.48717948718,4179.10256410256,4154.48717948718,4173.07692307692,4169.10256410256,0,0,0.203892463111587,0,0.062148492783308,0,0,0,0
120,0,1683,4167.5641025641,4217.5641025641,4172.82051282051,4173.07692307692,4177.4358974359,4173.20512820513,4168.97435897436,4213.58974358974,4163.58974358974,4175.64102564103,4178.07692307692,4153.97435897436,4166.02564102564,4168.20512820513,0,0,0.211872683757765,0,0.062148492783308,0,0,0,0
121,0,1203,4165.64102564103,4217.05128205128,4174.48717948718,4170,4177.94871794872,4174.35897435897,4168.20512820513,4216.79487179487,4168.84615384615,4184.23076923077,4181.92307692308,4157.17948717949,4167.30769230769,4170.76923076923,0,0,0.219652904403943,0,0.062148492783308,0,0,0,0
122,0,3353,4164.74358974359,4219.74358974359,4170,4172.94871794872,4171.92307692308,4172.69230769231,4169.23076923077,4216.53846153846,4166.02564102564,4177.94871794872,4182.69230769231,4155.12820512821,4172.94871794872,4170.12820512821,0,0,0.227533125050122,0,0.062148492783308,0,0,0,0
123,0,1320,4166.79487179487,4216.02564102564,4172.94871794872,4171.28205128205,4170.76923076923,4172.30769230769,4166.53846153846,4208.20512820513,4161.92307692308,4175.89743589744,4178.07692307692,4153.07692307692,4170,4170.38461538462,0,0,0.2355133456963,0,0.062148492783308,0,0,0,0
